shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1050526011,1.600000023841858,0.15709996223449707,2.3321070874468444e+20,-849374.25,1.4455195665359497,45301.4765625,1.5971238613128662
1120427032,1.600000023841858,0.08910000324249268,,-654009.5,1.7361186742782593,24050.29296875,1.6451300382614136
1120501019,1.600000023841858,0.13249993324279785,1.7143710204804307e+20,-695859.1875,1.6821027994155884,21660.248046875,1.6565115451812744
1160927026,1.600000023841858,0.15950000286102295,2.393047827279585e+20,-656206.3125,1.7049676179885864,22236.26171875,1.6904112100601196
1160525001,1.600000023841858,0.1352999210357666,1.489825237418807e+20,-576743.5,1.3317536115646362,20404.404296875,1.727531909942627
1120919001,1.600000023841858,0.06970000267028809,1.1831577225269661e+20,673143.625,1.62202250957489,31095.912109375,1.5038785934448242
1150915012,1.600000023841858,0.0023000240325927734,5.293907452941002e+19,819804.876155337,1.48800015449524,27712.8515625,1.53917729854584
1150812008,1.600000023841858,0.02049994468688965,1.5156445192310188e+20,-904741.093284138,1.62458097934723,59024.56640625,1.81096076965332
1050621020,1.600000023841858,0.1044999361038208,1.534133972721436e+20,-518613.15625,1.7367043495178223,22207.55859375,1.4393806457519531
1150501008,1.600000023841858,0.1550999879837036,1.1004309894387666e+20,-639976.188059034,1.66326117515564,21921.439453125,1.57891857624054
1120629010,1.600000023841858,0.15369999408721924,2.231786415075539e+20,-551359.9375,1.7253906726837158,50039.7421875,1.6439361572265625
1150915012,1.6002999544143677,0.002000093460083008,5.3037408799702e+19,819020.25,1.5112152099609375,32149.2734375,1.523909091949463
1150812008,1.6004999876022339,0.019999980926513672,1.522871596284275e+20,-903799.8125,1.6209561824798584,54968.3984375,1.826603889465332
1150915012,1.6013000011444092,0.001000046730041504,5.284419943017108e+19,817452.5,1.381277322769165,20226.197265625,1.5795637369155884
1150812008,1.6015000343322754,0.018999934196472168,1.533641409356944e+20,-902850.125,1.617038369178772,57078.3046875,1.837053298950195
1150915012,1.6023000478744507,0.0,-1.6666666269302368,525541.9846729737,1.2528178691864014,9316.927734375,1.4703307151794434
1150812008,1.6024999618530273,0.018000006675720215,1.537654093328384e+20,-900343.0,1.6085840463638306,52165.01953125,1.8471896648406985
1150812008,1.6035000085830688,0.01699995994567871,1.5443918283022126e+20,-898775.1875,1.6178767681121826,53298.52734375,1.849009156227112
1150812008,1.6045000553131104,0.015999913215637207,1.5688933006015594e+20,-895633.0001862335,1.5668932199478147,53436.2890625,1.7811568975448608
1150812008,1.6054999828338623,0.014999985694885254,1.5700505554479854e+20,-892496.0,1.5597540140151978,49796.2421875,1.781103253364563
1150812008,1.6065000295639038,0.01399993896484375,1.5833494723353923e+20,-890297.8125,1.558886170387268,50235.109375,1.7863930463790894
1150812008,1.6074999570846558,0.013000011444091797,1.5746959739810467e+20,-887788.625,1.5509785413742063,54957.8046875,1.776409149169922
1150812008,1.6085000038146973,0.011999964714050293,1.555250154598138e+20,-885903.5625,1.60743248462677,51792.6796875,1.8735306262969973
1150812008,1.6095000505447388,0.010999917984008789,1.5523779289831775e+20,-884020.2517878427,1.581297755241394,50322.7265625,1.8546409606933592
1150812008,1.6104999780654907,0.009999990463256836,1.5317730869607462e+20,-880883.0625,1.5621588230133057,50879.84375,1.7925370931625366
1150812008,1.6115000247955322,0.008999943733215332,1.5035951971141298e+20,-878371.75,1.5258480310440063,46475.03515625,1.779727339744568
1140814019,1.6117000579833984,0.019999980926513672,4.4742052835135324e+19,-656026.4375,1.7953176498413086,16126.806640625,1.5043513774871826
